iter	Passed	Remaining
690	2917	1304
691	2921	1300
692	2925	1295
693	2945	1298
694	2947	1293
695	2949	1288
696	2951	1283
697	2972	1285
698	2975	1281
699	2977	1275
700	2979	1270
701	2982	1266
702	2990	1263
703	2993	1258
704	2995	1253
705	2997	1248
706	3036	1258
707	3038	1253
708	3040	1248
709	3042	1242
710	3063	1245
711	3065	1239
712	3069	1235
713	3071	1230
714	3076	1226
715	3084	1223
716	3086	1218
717	3088	1213
718	3091	1208
719	3096	1204
720	3103	1201
721	3105	1195
722	3116	1193
723	3119	1189
724	3122	1184
725	3133	1182
726	3141	1179
727	3152	1177
728	3155	1173
729	3166	1171
730	3180	1170
731	3185	1166
732	3191	1162
733	3194	1157
734	3198	1153
735	3209	1151
736	3212	1146
737	3215	1141
738	3228	1140
739	3231	1135
740	3233	1130
741	3241	1127
742	3243	1122
743	3247	1117
744	3255	1114
745	3258	1109
746	3260	1104
747	3262	1099
748	3270	1095
749	3272	1090
750	3274	1085
751	3276	1080
752	3278	1075
753	3282	1070
754	3284	1065
755	3286	1060
756	3288	1055
757	3291	1050
758	3293	1045
759	3300	1042
760	3302	1037
761	3304	1032
762	3308	1027
763	3313	1023
764	3316	1018
765	3319	1013
766	3321	1009
767	3325	1004
768	3327	999
769	3330	994
770	3334	990
771	3342	987
772	3345	982
773	3348	977
774	3357	974
775	3360	969
776	3364	965
777	3368	961
778	3372	956
779	3374	951
780	3378	947
781	3390	945
782	3393	940
783	3396	935
784	3403	932
785	3406	927
786	3408	922
787	3411	917
788	3417	913
789	3420	909
790	3425	905
791	3434	901
792	3437	897
793	3439	892
794	3442	887
795	3450	884
796	3454	879
797	3457	875
798	3465	871
799	3469	867
800	3472	862
801	3480	859
802	3483	854
803	3486	849
804	3490	845
805	3499	842
806	3502	837
807	3506	833
808	3509	828
809	3511	823
810	3515	819
811	3523	815
812	3526	811
813	3529	806
814	3536	802
815	3539	798
816	3543	793
817	3545	788
818	3549	784
819	3552	779
820	3555	775
821	3557	770
822	3559	765
823	3567	761
824	3569	757
825	3572	752
826	3576	748
827	3582	744
828	3586	739
829	3589	735
830	3599	732
831	3604	727
832	3613	724
833	3616	719
834	3619	715
835	3623	710
836	3631	707
837	3636	703
838	3646	699
839	3651	695
840	3661	692
841	3669	688
842	3680	685
843	3686	681
844	3694	677
845	3698	673
846	3701	668
847	3707	664
848	3713	660
849	3718	656
850	3725	652
851	3728	647
852	3730	642
853	3733	638
854	3740	634
855	3743	629
856	3746	625
857	3756	621
858	3760	617
859	3763	612
860	3773	609
861	3777	604
862	3788	601
863	3792	596
864	3811	594
865	3822	591
866	3827	587
867	3833	582
868	3836	578
869	3839	573
870	3847	569
871	3851	565
872	3853	560
873	3861	556
874	3864	552
875	3869	547
876	3871	543
877	3877	538
878	3880	534
879	3883	529
